epoch,train_loss,train_ce,train_kd,train_center,train_relation,train_embedding,train_logit_kd,train_topk,train_margin,train_anchor,train_teacher1_kd,train_teacher2_kd,teacher2_active,train_tdl,train_contrast,train_topkd,train_tckd,train_nckd,hard_ratio,avg_true_rank,train_acc,val_loss,val_acc,lr,time_s,val_true_class_margin
73,8.623775,2.426859,6.196916,12.269426,0.047787,0.622034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9961,0.505118,0.9832,0.00088812,32.2,3.524727
74,8.573978,2.43549,6.138488,12.15273,0.04787,0.621233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9955,0.627516,0.976,0.00088468,32.3,3.298648
75,8.500796,2.420311,6.080485,12.037176,0.046981,0.618975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9963,0.548492,0.9808,0.0008812,32.7,3.360016
76,8.36202,2.419477,5.942543,11.762055,0.047462,0.615153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9957,0.652775,0.97,0.00087767,31.8,3.05752
77,8.286839,2.414889,5.87195,11.62135,0.047973,0.612753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9967,0.47498,0.9892,0.0008741,32.1,3.667708
78,8.205325,2.405007,5.800317,11.478473,0.046422,0.610807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997,0.572063,0.9844,0.00087049,32.5,3.403355
79,8.063699,2.39538,5.668319,11.215244,0.046113,0.60697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978,0.542126,0.9808,0.00086683,32.1,3.429946
80,8.00343,2.397915,5.605515,11.090034,0.047056,0.604977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.572738,0.9796,0.00086313,32.4,3.432317
81,7.961677,2.400816,5.560861,11.000818,0.04656,0.604521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.669697,0.9616,0.00085939,32.2,2.996488
82,7.853671,2.394305,5.459366,10.7985,0.046253,0.601162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.512628,0.9844,0.00085561,32.5,3.558267
83,7.797701,2.390193,5.407509,10.695015,0.046463,0.600009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972,0.533515,0.988,0.00085178,32.5,3.607266
84,7.7147,2.386687,5.328013,10.536593,0.045476,0.597164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9961,0.588462,0.9808,0.00084791,32.2,3.405821
85,7.605285,2.377393,5.227892,10.336935,0.045488,0.594247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981,0.507765,0.988,0.00084401,32.2,3.601104
86,7.530068,2.372475,5.157593,10.196733,0.046142,0.592266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.601581,0.9796,0.00084006,32.2,3.333981
87,7.476687,2.373686,5.103001,10.087884,0.04545,0.590588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984,0.573383,0.9844,0.00083607,32.1,3.517569
88,7.351506,2.374324,4.977183,9.836965,0.044973,0.587003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9976,0.690529,0.9784,0.00083204,32.4,3.192464
89,7.32748,2.367589,4.959891,9.80247,0.044775,0.586561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.533155,0.9832,0.00082797,32.0,3.647425
90,7.192762,2.365205,4.827557,9.538557,0.044895,0.582783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9987,0.592312,0.9904,0.00082387,32.4,3.543521
91,7.201992,2.367567,4.834425,9.552253,0.045048,0.582982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.518074,0.988,0.00081973,32.3,3.719876
92,7.085966,2.359887,4.726079,9.336161,0.043962,0.57999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9985,0.562518,0.988,0.00081555,32.3,3.516554
93,7.017801,2.356385,4.661416,9.207121,0.044025,0.578552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981,0.525987,0.988,0.00081133,32.1,3.55953
94,6.886356,2.344874,4.541481,8.968029,0.043561,0.574668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993,0.53123,0.9844,0.00080707,32.0,3.648009
95,6.864763,2.353934,4.510829,8.906882,0.043938,0.573876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9988,0.582341,0.9868,0.00080278,32.2,3.468552
